Location_Name,Located_City,Location,Location_Type,User_ID,User_Location,User_Locale,User_Contributions,Travel_Date,Published_Date,Rating,Helpful_Votes,Title,Text
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 11,"London, United Kingdom",en_UK,11,2019-04,2019-04-20T18:42:51-04:00,5,0,LOVE LOVE LOVE,"Must visit in Sri Lanka. We would stay forever!!!!!! Beautiful town full of beautiful people. It has maintained it's charm despite tourism and surfing industry and the fishing community is still prevelant. Beautiful beaches, strong waves in peak season and full of restaurants, cafes and bars. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 12,"Nagahama, Japan",en_US,6,2019-01,2019-04-16T08:38:51-04:00,4,0,Really Good Tip,"Very relaxed atmosphere, perfect place to relax and enjoy the waves. Great restaurants too. The people are all very friendly and happy to provide information. Nice and safe beach; I like this beach, it's safe for everyone. I recommended it."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 13,"Pacific Coast Australia, Australia",en_AU,74,2019-04,2019-04-15T08:16:43-04:00,2,1,Expected more,"Perhaps it's because it's just the start of the season and also the local new year holiday weekend, but a lot of the bars and restaurants were closed.

What disappointed us most was the lack of good dineing.  
Having recently been to Galle, Mirissa and Ella, we found the restaurant options and quality comparatively lacking in Arugam Bay. We tried Karma, Spice Trail, Bay Vista, Geckos  Surfers rest and  Pizza Hub.
All of them disappointed in some way and the Pizza place actually ended making us sick due to stale seafood. 

"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 14,Glasgow,en_UK,97,2019-02,2019-02-08T18:31:31-05:00,1,8,Only place in Sri Lanka where we have felt unsafe,Arrived here off season and it was deserted. Found ourselves being stared at constantly and as a woman I felt very uncomfortable. We were used to local people staring but then smiling at us. This was not the case here. My husband walked to local shop on the main street at 10 am and was surrounded by old men demanding money. It was only when an older hotelier started shouting at them that they backed off.Please this is not a reflection of Sri Lanka which we have loved but only of this conservative Village.
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 15,"Stuttgart, Germany",en_US,2,2019-01,2019-01-21T22:43:41-05:00,5,1,Beautiful & Calm,Very beautiful place.So relaxed. Sun rising is something worth to watch. But I think there must be certain rules to prevent garbaging this wonderful place.
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 16,"Kyiv, Ukraine",ru_RU,20,2018-05,2018-11-13T14:15:23-05:00,5,0,Surf camp Emotionland ,"???? A good place to first stand on the surf, to feel the ocean. Arugam is a village where nice people live, tasty forge, low prices, gorgeous ocean. Chic hummus at The Spice Trail??"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 17,"London, United Kingdom",en_UK,5,2018-07,2018-11-07T02:09:00-05:00,5,0,End of the road in Sri lanka,"Simple little village on the coast with walking access to surf for all abilities and a range of accomodation
Changing so quickly which is proof that this is a great place to spend a day or more likely a week."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 18,"Coimbatore, India",en_IN,55,2018-10,2018-10-13T21:00:41-04:00,4,1,"Perfect for Wind Surfers, Lot of Wind Surfing Lessons Going On","Though the entry is of a fishing village and looks pretty dirty, when you walk along the shore and reach a point were surfers are enjoying their moment. My kids learned to windsurf and were enjoying the evening."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 19,"Reigate, United Kingdom",en_US,381,2018-02,2018-10-13T03:53:24-04:00,4,0,Great walk away from the bay itself,"We visited during the low season. Nonetheless, we enjoyed some excellent beach walks along the right side of the bay."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 20,"Ho Chi Minh City, Vietnam",en_US,7,2018-10,2018-10-04T20:44:46-04:00,3,0,Off season dullness,"Beautiful stretch of sand with restaurants, bars and resorts. 
There is a surfer feeling to this location however the waves arent that incredible to draw that crowd exclusively.

1/3 of all stores/accommodations are closed during off season period and the other 2/3 are understaffed and understocked. 
There is also no nightlife during October to May.

The dogs on the beaches are very annoying. They will growl and bark at any stranger that passes by. Occasionally on a daily basis they will attack each other viciously which can make you nervous when you are in the vicinity. 
"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 21,"Papatoetoe, New Zealand",en_US,191,2018-08,2018-09-19T01:29:26-04:00,4,1,Too crowded,"The beach is long but quite narrow. There are many small hotels/shacks and restaurants along the beach, some restaurants are really good, such as Gecko. The wood-fire thin crust sea-food pizza was yummy. 
About surfing at Arugam Bay, there are also nicer places near to Arugam Bay. The beaches at Panama (a village) offers big bays with wide beaches and surfs and much less crowd. Usually locals go there and then there are not many. You may need a local guide to bring you there. You may contact on the local guides, Manju, tel: +94(71)249-0256, to bring you to Panama Beach. 
 "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 22,"Miami, Florida",en_US,15,2018-08,2018-09-18T05:41:57-04:00,4,3,Worth it if you like surfing and yoga in a young and easy going atmosphere,You get surfers from all over the world during the season from June to September. The main point is not for beginners as there is a reef so be careful if you're still learning you may have to go a bit further to the left where you can find a good spot for beginners with a Sandy Beach. Locals are friendly and it's a nice spot to chill for a few days
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 23,"Lancashire, United Kingdom",en_US,116,2018-09,2018-09-06T18:47:35-04:00,4,2,"Clean, but rough sea in areas","The beach is really clean, lovely golden sand there is plenty of room with out being overcrowded, we had a section literally too ourselves.
The sea is rough but not so you cant take a dip but the currents can be strong so you wouldnt go out too far.
I believe further south you go there is a bay that is sheltered and isnt as rough but we didnt try this area."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 24,"Dublin, Ireland",en_IE,5,2018-07,2018-08-27T07:44:51-04:00,5,1,Amazing place for surfing,"What a great place for surfing. My main advice would be that you should book a hotel/hostel: beginners - closer to Baby Point and advanced - Elephant Rock. Waves at the Baby Point place are much smaller and affordable for beginners. The surfing gear and boards I rented at Hasan Surf House - prices: 400 rupee/day for a board, 1,500 rupee/1.5h surfing lesson included half day board after the lesson. The best and cheapest food was at Ranga's Beach Hut and the best fish at Hakeem's Beach Spot - 1000 rupee/person. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 25,"Greater Manchester, United Kingdom",en_UK,9,2018-08,2018-08-25T10:06:29-04:00,5,2,Relaxing paradise,"Great to sit back, relax and chill. Family, teenagers, older persons can find all they need in this part of a beautiful island "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 26,"Yate, United Kingdom",en_US,363,2018-08,2018-08-22T23:15:21-04:00,4,0,"Nice beach, laid back with good surf","We spent a week here and liked the beach.  The kids surfed here despite being beginners and some of the waves being quite large.  

You can stand until quite far out (off and on) and the water is warm so you can stay in a long time.  Despite the wave power I didnt feel that you got sucked out to sea although you may drift further down.  

I felt the kids were fairly safe here which is great.  

In the evening there are a number of restaurants where you can eat fish on the beach.  Relaxing and relatively clean.

Watch out for the friendly dogs and puppies, very cute but the little rascals can start chewing your headphones ??"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 27,"Melbourne, Australia",en_AU,70,2017-08,2018-08-21T07:50:25-04:00,5,0,Relaxing,"Depending on your interests consider the length of stay.  We didn't surf but relaxed very well on tbe beach for 6 days. Possibly a little to long.  Place will develop fast I'd suggest, nice to see it now. Felt like Bali in the 70s. Lots of young backpackers discovering themselves and the place really catered to them very well. A feeling of discovery. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 28,"Newbury, United Kingdom",en_UK,16,2018-07,2018-08-16T04:26:22-04:00,5,0,Huge waves,"beautiful beach, huge waves and fun. Loved it there, will defiantly be back again. Loved our hotel and loved the beach bars along the  bay."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 29,Austria,de,10,2018-07,2018-07-29T05:01:17-04:00,5,0,Nice little town for Surfers,"If you surf,, go to Arugam Bay.You will find may great surf.spots around the town. Easy to access by TukTuk."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 30,"Turin, Italy",it,10,2018-07,2018-07-28T06:19:31-04:00,4,0,Great surfing place,"Is the best spot on the east coast to surf, if youre willing to take a bath you can try but the waves are too strong to let you easily go in the sea, there are a lot of cheap bars where you can drink and eat after you had a surfing day"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 31,"Shoalhaven, Australia",en_AU,54,2018-07,2018-07-27T08:30:22-04:00,2,6,Lost Paradise,Wish I had of gone 40 years ago. Over cooked now and developing not in a good way. If your going for waves definitely avoid the high season. Ridiculous amount of surfers from places that dont even have surf. Its a shame because geographical it would have been a beautiful place in its day. Eat in local restaurants as it is far cheaper than the usual tourist traps. The people are nice but all trying to make a years wage in a few months. Not sure why some people like it like this. Elephant eating in a rubbish dump finished it for me.
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 32,"London, United Kingdom",en_UK,53,2018-07,2018-07-24T09:18:07-04:00,3,6,Sri Lanka's version of Goa,"Lovely beaches, great surf, chilled out vibe.  in the summer A-Bay is home to hundreds of European 20-somethings having a great time.  It's all about the beach here and A-Bay itself is a short strip of resorts and restaurants catering for the western palate.  if you're looking for culture, try elsewhere - it is a little heartbreaking to see that the local community have had to put up signs asking holidaymakers to respect the culture and values and not wear bikinis on the high-street...."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 33,"London, United Kingdom",en_IE,9,2018-07,2018-07-21T06:46:50-04:00,1,7,Okay beach - locals can't be trusted,"It's a nice place once you get away from the main strip. The locals unfortunately have not yet adapted to the fact that tourism can be fickle if a place gets a bad reputation. 

We had several negative experiences here, mainly to do with being ripped off, having our taxi driver attacked (because he wasn't a local) and having the local men harass the girls we were with. The guys working in our hotel were offering us drugs before we even got to our room. All in all, I would say avoid the place. 

The surf isn't great and the beach has oil slick stains. Much better beaches with much kinder locals just 100km or so away."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 34,"Prague, Czech Republic",en_US,5,2018-07,2018-07-18T17:25:05-04:00,5,0,Place you should not missed,Great atmosphere in surf place where everything is dedicated mostly to surf ?? People are great and supporting you must try to have at least one lesson of surf ??
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 35,"Melbourne, Australia",en_AU,9,2018-07,2018-07-16T00:28:49-04:00,5,0,What Bali was in the 1980's,"Great location with good selection of surf spots.  The beach is great and clean but in July was very hot,  Try and stay at a place with a pool if you have young kids.  There were so many great places to eat,  avoid beach restaurants as food was not great.  Only issue I would have is you need to tuk tuk to lots of the other surf spots and in July there were many people surfing who really should remain on dry land.  Very safe, lots of shopping a bit touristy but a fun location."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 36,"San Mateo, California",en_US,1,2018-07,2018-07-06T17:16:54-04:00,2,4,Overrated,"Arugam Bay is an amazingly overrated surf spot. Surfwise expect a slightly above average wave with 100-300 drunk idiots in the lineup on main point with 0 etiquette from dusk till dawn. All the other spots within 30 minutes are mobbed as well. Some like Peanut Farm and Whiskey Point even have lessons block everyone from surfing in whose not taking a lesson.

The worst problem is greed from the local populace. I switched rooms to the Spice Trail and paid only to have them up bill me another $40 a night over what we originally agreed due (and paid) to a ""misunderstanding"". We we're offered free wine and charged for it. I was offered a 10% discount and only given a $10 discount on an almost $200 room, and was originally told one check out time and told another the day I had to leave.

The Banana surf shop in Arugam Bay gave us a broken board where the repair job came off in the water and then tried to charge me for the cost of a new board. We eventually negotiated our payment down to $110 but it was still very aggravating and was made worse by the fact that the owner actually was threatening my wife.

This low level of business ethics is to be expected in Arugam Bay. Much of these businesses only operate from April-October and the locals all come out en masse to try to ring every penny they can out of the tourists. While some of this is to be expected it becomes harassment when you're walking down the street with multiple Tuk Tuk drivers following you and yelling constantly.

Of course the sidewalk collapsed as well and my ankle was severely hurt (maybe broken). 

On a plus side the food here is great. Lots of variety. Main beach is pretty if somewhat unsurfable. And there's cool spots to surf/visit if you go at least 45 minutes outside Arugam Bay. The wildlife safaris though a bit ghetto will allow you see great wildlife. 

If you come over here I'd recommend staying in Panama or some place at least 30 minutes outside of Arugam Bay then maybe visiting at night for a meal by Tuk Tuk. It will save you a lot of hassles."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 37,"Amsterdam, The Netherlands",fi,132,2018-06,2018-07-01T06:50:13-04:00,4,1,Veru nice looking beach,We stop for one nigt during our Sri Lanka trip. Beach and restaurants near beach need more than one night for better understanding. Perhaps next time?
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 38,"Yangon (Rangoon), Myanmar",en_US,42,2018-07,2018-06-30T18:28:23-04:00,4,2,Brilliant stretch of beach,"As I'm not a beach person, it's hard to appreciate these kind of places but this was a nice place with an incredibly long stretch of sand. Waves were a bit scary but that's the power of nature for you! Lots of accommodation and food options so if you're looking for a beach resort for a holiday this is a good alternative to the usual. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 39,"Burley, United Kingdom",en_UK,35,2018-06,2018-06-30T10:45:10-04:00,5,0,Favourite all round beach in Sri Lanka,"Were non surfers, but loved Arugam Bay. We went in June, which is ABays on season and it was buzzing, which is refreshing if youve been travelling the hill country, or the south and not really seen anyone. 

The weather was fantastic - really, very hot and the seas were rough, but fun to bob around in for a while to cool off or watch the surfers (or indeed surf) in the mornings and afternoons.

The beach is littered with nice little bars and restaurants. There are loads of places to eat, drink and stay in Arugam Bay. Try Rangas beach hut at the far end to stay, Matahari Secret Garden for a romantic drink, and Bambinos for a quick but super tasty bite to eat. 

Everyones really friendly and its a cheap place to live. A must if youre visiting Sri Lanka, especially if youre going in the European summer!"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 40,"North Yorkshire, United Kingdom",en_UK,2,2017-09,2017-09-23T08:16:04-04:00,5,4,Best place to relax and party sri lanka,"I read the negative reviews first prior to visiting Arugam Bay and felt I shouls address these points first. 

If you rent a board do it via your hotel....I would recommend the Spice Trail. This way you avoid any shady damage coning! 

If you are going to be in the sea you may cut yourself. If this happens near corral or rocks they contain a fungi that wants to grow in your skin. Take antiseptic with you amd be prepared to propeely clean out the wond it will hurt but it wont get infected. Or alternatively use a lime like in Barley!

This for us after visiting 10 locations in Sri Lanka was the safest place to go out at night allowing visitors to sample the amazing street food and get a taste of real Sri Lankan cusiene! 

The surf is good!

Yes the beer is slightly more expensive anf the tuk tuks are more costly!

They are indeed on the weed sale, so if this floats your boat treat yourself if not they are not in your face which is great!

Visit here if you go to sri lanka! "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 41,"Heilbronn, Germany",de,6,2017-09,2017-09-22T17:45:55-04:00,4,1,A smile is all you need,"Arugam Bay is very relaxed and a little paradies on this earth. But please for everybody that will come: show respect to the culture and be polite to the friendly people that gives you holiday. It depends on the saison but when I was there I was a little bit shocked because of the tourist that were also unpolite to me and - dont know - lost their smile on the way.. 
I want to stay 3 nights but at the end it was 10 nights at Etnicos Surf Resort :-)"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 42,"Port Coquitlam, Canada",en_CA,18,2017-08,2017-08-27T17:20:50-04:00,5,2,Surf City!,"Great surfing town, even for learners, like me.  Beautiful beaches, nice centre strip, full of restaurants and a few great bars (limited due to local laws). Very  hospitable locals and friendly travellers. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 43,"Prague, Czech Republic",en_US,2,2017-08,2017-08-26T23:47:03-04:00,3,2,An over-hyped destination,"Few spots for surfers which quickly get overcrowded. Beach is dirty n not ideal for swimming. Hotels r dirty, lack basic facilities n hygiene n r way over-priced."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 44,"Dubai, United Arab Emirates",en_US,56,2017-08,2017-08-25T19:13:38-04:00,4,0,Arugambay vist,"We had a great time in Arugambay. Getting there is a bit of long drive but fully worth it. It's completely off the beaten track n a real surfing spot. Accommodation is much much cheaper than other beach spots in the island. 

Definitely worth going n one of the few uncrowded n uncrowned surfing places in the world.
"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 45,Lebanon,en_US,7,2017-08,2017-08-22T09:33:01-04:00,4,0,Only for surfers,This beach is beautiful and the city is well developed (and consequently overpriced relative to the rest of Sri Lanka). But what makes this place a world class surfing spot also makes it a mediocre place to simply swim for us less cool non surfers. 
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 46,Darwin ,en_US,6,2017-08,2017-08-20T21:51:21-04:00,3,0,Get better hotels! ,All the hotels are soooooo average. Do some googling and what is offered for the same money in other places. Number one thing... get proper beds! Do not just push two single beds together. That happened in all 3 hotels we stayed in.
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 47,"Northern Portugal, Portugal",en_US,62,2017-06,2017-08-17T13:35:23-04:00,5,0,My First sunrise at the beach,"this is a great spot to visit, specially if you are a surfer. great weaves, could be crowed in high season. In low season was good! a local and friendly place."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 48,"Perth, Australia",en_US,78,2016-09,2017-08-16T11:09:18-04:00,5,0,Just Joy...,"Yeah, there's a lot of people there, but it all works out and you quickly get caught up in the relaxed atmosphere of the lifestyle there (for tourists). Wake up, surf, eat, surf, chill, beers, maybe surf, have fun, sleep, repeat!"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 49,"London, United Kingdom",en_UK,7,2017-08,2017-08-14T02:09:03-04:00,5,0,a beautiful remote part in the world,"Arugam Bay is a very quite and beautiful location , if you want to get away from the city life, it has some good surfing places, National safari park, nature reserves, lakes, rivers and lagoon, people are super friendly, foods and tasty and plenty with prices vary, sandy beaches, innocent faces and the thick jungles around with full of nature, a place to spend some time to be perfect. "
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 50,"Frankfurt, Germany",de,11,2017-07,2017-08-09T08:10:26-04:00,4,3,"Chilly place, good waves",Arugambay is a very chilly place. Surf at main point or relax at the nice beach on the northern end. But don't miss it. And if you want to see some of the other beaches around Arugambay call Jaya (+940773221466). He's a good guy and showed us every wave and surfspot around Arugambay.
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 51,"Novo Mesto, Slovenia",en_US,46,2017-08,2017-08-07T06:46:15-04:00,2,1,Overrated patch of beach,"If you're not a surfer, there's just money to be spent here on average offers. The place has potential, but the services barely meet average standards elsewhere in Sri Lanka. You can visit Yala wildlife park which is 45 mins away but as with any wildlife sightings, it depends on your good luck of catching interesting species. It's also hard to get to here - costly taxis or 7 hours of bouncing bus from the hill country. And another thing; given that there's loads of tourists, the place doesn't feel like Sri Lanka at all."
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 52,"Whitstable, United Kingdom",en_UK,112,2017-08,2017-08-06T09:39:53-04:00,5,0,What a beach! ,"Such a lovely beach, we spent four days here in August and it was absolutely fantastic. Very clean beach, countless bars and restaurants, touristy and surfy but unspoilt"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 53,"Doha, Qatar",en_GB,5,2018-06,2018-06-25T22:09:03-04:00,5,0,Awesome bech ,We are going just visiting puttuvil in 1st day same day we wend part of puttuvil bech. So good but no one there.2nd day we wend arugam bay bech wow amazing place .we are really enjoyed.thank you 
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 54,"Middelburg, The Netherlands",nl,80,2018-06,2018-06-15T09:50:29-04:00,5,2,Read below for a great cheap experience!!!,"If you are in Arugam Bay, make sure you rent a scooter around 4 in the afternoon for 1000 lkr or so. Drive through arugam bay and to the town panama. As soon as you reach it turn the first street right. Then head on the B355 into yala national park. We saw alot of water buffalos crossing the road, a deer, some lizards and 5 elephants very close on the motorbike!!! Way beter experience then any other safari tour in a national park. Very few tourist, make sure you do it in the afternoon!!"
Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Beaches,User 55,"Dubai, United Arab Emirates",en_US,68,2018-06,2018-06-15T01:39:45-04:00,4,1,Good times in the east coast ,Overall good experience. Being offered drugs doesn't really bother me but it might to some people. Good beach and good surf. The alcohol laws in Sri Lanka are weird so nightlife isn't very great.
