hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
abi holiday home - private villa -jaffna,Entire villa,6,4.52,Northern Province,Jaffna District,Jaffna,Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,villa | luxury | tropical,https://images.pexels.com/photos/12217610/pexels-photo-12217610.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$227,Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"abi holiday home - private villa -jaffna redefines luxury in Jaffna, pairing a refined ambience with Spa & Wellness, Full Kitchen, and seamless access to Nallur Kovil.",9.692082,80.045314
Thikal Kudisai- Private Room 01,Private room in villa,3,Not rated,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/10039298/pexels-photo-10039298.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$133,Beach Access; Ocean View; Free Parking; Air Conditioning; Free WiFi,"Escape the ordinary at Thikal Kudisai- Private Room 01, a villa-style villa retreat in Galle where Beach Access, Ocean View, and warm hospitality create lasting memories.",6.037525,80.186548
K.P.K Farm House,Hut,3,4.85,Central Province,Matale District,Habarana,Farm activities and animal feeding; Organic cooking experience; Farm-to-table dining; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Minneriya National Park (National Parks); Kaudulla National Park (National Parks); Minneriya Tusker Safaris (National Parks); Dambulla Cave Temple (Religious Sites); Sigiriya The Ancient Rock Fortress (Historic Sites); Sigiriya Museum (Historic Sites),Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography; Guided eco tours; Camping inside the park; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,farm | countryside | nature,https://images.pexels.com/photos/34360084/pexels-photo-34360084.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$55,Free WiFi,K.P.K Farm House offers a soulful nature escape in Habarana — a nature-immersed hut where Free WiFi and the beauty of Minneriya National Park refresh the spirit.,7.513221,80.607059
village house in the nature,Entire home,4,Not rated,Central Province,Matale District,"Habarana, Ella, Deniyaya",Nature walks on the property; Birdwatching; Photography of natural surroundings; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour; Day trip to nearby temples and shrines; Attending local festivals and ceremonies; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Hiking to the nearby waterfall,Minneriya National Park (National Parks); Kaudulla National Park (National Parks); Minneriya Tusker Safaris (National Parks); Dambulla Cave Temple (Religious Sites); Sigiriya The Ancient Rock Fortress (Historic Sites); Sigiriya Museum (Historic Sites),Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography; Guided eco tours; Camping inside the park; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture; Guided tea plantation walks,villa | hillside | nature,https://images.pexels.com/photos/10576702/pexels-photo-10576702.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$101,Mountain View; Full Kitchen; Free Parking; Free WiFi,"Your private slice of paradise awaits at village house in the nature — an expansive home in Habarana boasting Mountain View, Full Kitchen, and sweeping hillside views.",7.426775,80.583072
J. R. Thacxhana Mahal - Main Floor / 1st Floor,Entire home,6,Not rated,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/30619805/pexels-photo-30619805.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$111,Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"Enjoy an authentic stay at J. R. Thacxhana Mahal - Main Floor / 1st Floor, a well-appointed home in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.961849,79.871573
Malabar Home Stay Jaffna,Entire vacation home,7,Not rated,Northern Province,Jaffna District,Jaffna,Cocktails and drinks at the hotel bar; Socialising with fellow travellers; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,heritage | tropical | garden,https://images.pexels.com/photos/33875338/pexels-photo-33875338.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$58,Full Kitchen; Family Friendly; Heritage Property; Garden; Free Parking; Air Conditioning,Experience the living heritage of Jaffna at Malabar Home Stay Jaffna — a beautifully preserved vacation home that pairs Full Kitchen with proximity to Nallur Kovil.,9.692213,80.048473
Vannarpannai Properties (new close to Jaffna Town),Entire rental unit,5,4.88,Northern Province,Jaffna District,Jaffna,Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,heritage | tropical | garden,https://images.pexels.com/photos/12387865/pexels-photo-12387865.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$67,Full Kitchen; Family Friendly; Heritage Property; Garden; Air Conditioning; Free WiFi,"Steeped in history and character, Vannarpannai Properties (new close to Jaffna Town) is a remarkable apartment in Jaffna where colonial charm meets modern comfort, just moments from Nallur Kovil.",9.665123,80.072812
Ponrose Villa - 8 bed rooms,Entire villa,16,4.54,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/23696838/pexels-photo-23696838.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$286,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Your private slice of paradise awaits at Ponrose Villa - 8 bed rooms — an expansive villa in Galle boasting Beach Access, Ocean View, and sweeping villa-style views.",6.041353,80.226204
Located close to town centre,Entire condo,4,4.8,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,apartment | modern | city,https://images.pexels.com/photos/12307498/pexels-photo-12307498.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$104,Beach Access; Full Kitchen; Air Conditioning; Free WiFi,"Perfectly positioned in the pulse of Colombo, Located close to town centre is a sleek condo offering Beach Access, Full Kitchen, and effortless access to Mount Lavinia Beach.",6.96004,79.873052
AJR Guest House Jaffna,Entire townhouse,7,4.91,Northern Province,Jaffna District,Jaffna,Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Nallur Kovil (Religious Sites); Jaffna Fort (Historic Sites); Nainativu Nagapooshani Amman Temple (Religious Sites); Jaffna Public Library (Historic Sites); Nallur Kovil Jaffna (Religious Sites); Nagadeepa Purana Viharaya (Religious Sites),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture,heritage | tropical | garden,https://images.pexels.com/photos/6875531/pexels-photo-6875531.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$56,Family Friendly; Heritage Property; Garden; Air Conditioning; Free WiFi,"Steeped in history and character, AJR Guest House Jaffna is a remarkable entire townhouse in Jaffna where colonial charm meets modern comfort, just moments from Nallur Kovil.",9.697671,80.033235
Hari Guest House-One room without A/c 2sleeps,Private room in home,2,4.79,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/33464935/pexels-photo-33464935.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$41,Beach Access; Free Parking; Air Conditioning; Free WiFi,"Discover genuine Sri Lankan warmth at Hari Guest House-One room without A/c 2sleeps, a welcoming private room in Colombo offering Beach Access, Free Parking, and easy access to Mount Lavinia Beach.",6.947557,79.815782
Shylla Villa - Nature House,Entire home,10,Not rated,Central Province,Matale District,"Habarana, Ella, Deniyaya",Nature walks on the property; Birdwatching; Photography of natural surroundings; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour; Day trip to nearby temples and shrines; Attending local festivals and ceremonies; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Hiking to the nearby waterfall,Minneriya National Park (National Parks); Kaudulla National Park (National Parks); Minneriya Tusker Safaris (National Parks); Dambulla Cave Temple (Religious Sites); Sigiriya The Ancient Rock Fortress (Historic Sites); Sigiriya Museum (Historic Sites),Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography; Guided eco tours; Camping inside the park; Temple and shrine visits; Attending religious ceremonies and festivals; Meditation and spiritual walks; Guided cultural heritage tours; Photography of ancient architecture; Guided tea plantation walks,villa | hillside | nature,https://images.pexels.com/photos/5209743/pexels-photo-5209743.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$100,Mountain View; Full Kitchen; Family Friendly; Free Parking; Free WiFi,"Escape the ordinary at Shylla Villa - Nature House, a hillside villa retreat in Habarana where Mountain View, Full Kitchen, and warm hospitality create lasting memories.",7.44029,80.602339
